Atom 1,Atom 2,Atom 3,Atom 4,Kchi,Multiplicity (n),Delta,Comments,Line Number
CG33,CG32,CG33,HGA3,0.16,3.0,0.0,"['! Linear Alkane', 'alkane update, ChengZhu']",1934
HGA3,CG33,CG33,HGA3,0.155,3.0,0.0,"['! Linear Alkane', 'alkane update, ChengZhu']",1936
HGA2,ARC2,ARC2,HGA2,0.19,3.0,0.0,"['! Linear Alkane', 'alkane update, ChengZhu']",1938
ARC2,ARC2,ARC2,HGA2,0.19,3.0,0.0,"['! Linear Alkane', 'alkane update, ChengZhu']",1940
HGA2,CG32,CG33,HGA3,0.16,3.0,0.0,"['! Linear Alkane', 'alkane update, ChengZhu']",1942
HGA2,CG32,CG32,HGA2,0.22,3.0,0.0,"['! Linear Alkane', 'alkane update, ChengZhu']",1944
CG33,CG32,CG32,HGA2,0.18,3.0,0.0,"['! Linear Alkane', 'alkane update, ChengZhu']",1946
CG32,CG32,CG32,HGA2,0.195,3.0,0.0,"['! Linear Alkane', 'alkane update, ChengZhu']",1948
CG33,CG32,CG32,CG33,0.03819,2.0,0.0,"['! Linear Alkane', 'alkane update, ChengZhu']",1950
CG32,CG32,CG32,CG33,0.15051,2.0,0.0,"['! Linear Alkane', 'alkane update, ChengZhu']",1952
CG32,CG32,CG32,CG33,0.08133,3.0,180.0,"['! Linear Alkane', 'alkane update, ChengZhu']",1954
CG32,CG32,CG32,CG33,0.10824,4.0,0.0,"['! Linear Alkane', 'alkane update, ChengZhu']",1956
CG32,CG32,CG32,CG33,0.20391,5.0,0.0,"['! Linear Alkane', 'alkane update, ChengZhu']",1958
CG32,CG32,CG32,CG32,0.0645,2.0,0.0,"['! Linear Alkane', 'alkane update, ChengZhu']",1960
CG32,CG32,CG32,CG32,0.14975,3.0,180.0,"['! Linear Alkane', 'alkane update, ChengZhu']",1962
CG32,CG32,CG32,CG32,0.09458,4.0,0.0,"['! Linear Alkane', 'alkane update, ChengZhu']",1964
CG32,CG32,CG32,CG32,0.11251,5.0,0.0,"['! Linear Alkane', 'alkane update, ChengZhu']",1966
H,NH1,C,CP1,2.5,2.0,180.0,"['ALLOW PEP PRO', '6-31g* AcProNH2, ProNH2, 6-31g*//3-21g AcProNHCH3 RLD 4/23/93']",1968
H,NH1,C,CT1,2.5,2.0,180.0,"['ALLOW PEP', 'Gives appropriate NMA cis/trans barrier. (LK)']",1970
H,NH1,C,CT2,2.5,2.0,180.0,"['ALLOW PEP', 'Gives appropriate NMA cis/trans barrier. (LK)']",1972
H,NH1,C,CT3,2.5,2.0,180.0,"['ALLOW PEP', 'Gives appropriate NMA cis/trans barrier. (LK)']",1974
H,NH1,CT1,C,0.0,1.0,0.0,"['ALLOW PEP', ""Alanine Dipeptide ab initio calc's (LK)""]",1976
H,NH1,CT1,CC,0.0,1.0,0.0,"['ALLOW PEP POL', 'adm jr. 4/05/91, for asn,asp,gln,glu and cters']",1978
H,NH1,CT1,CD,0.0,1.0,0.0,"['ALLOW PEP POL', 'adm jr. 5/02/91, acetic acid pure solvent']",1980
H,NH1,CT1,CT1,0.0,1.0,0.0,"['ALLOW PEP', ""Alanine Dipeptide ab initio calc's (LK)""]",1982
H,NH1,CT1,CT2,0.0,1.0,0.0,"['ALLOW PEP', ""Alanine Dipeptide ab initio calc's (LK)""]",1984
H,NH1,CT1,CT3,0.0,1.0,0.0,"['ALLOW PEP', ""Alanine Dipeptide ab initio calc's (LK)""]",1986
H,NH1,CT2,C,0.0,1.0,0.0,"['ALLOW PEP', ""Alanine Dipeptide ab initio calc's (LK)""]",1988
H,NH1,CT2,CC,0.0,1.0,0.0,"['ALLOW PEP POL', 'Alanine dipeptide; NMA; acetate; etc. backbone param. RLD 3/22/92']",1990
H,NH1,CT2,CD,0.0,1.0,0.0,"['ALLOW PEP POL', 'adm jr. 5/02/91, acetic acid pure solvent']",1992
H,NH1,CT2,CT2,0.0,1.0,0.0,"['ALLOW PEP', 'from H    NH1  CT2  CT3, for lactams, adm jr.']",1994
H,NH1,CT2,CT3,0.0,1.0,0.0,"['ALLOW PEP', ""Alanine Dipeptide ab initio calc's (LK)""]",1996
H,NH2,CC,CT1,1.4,2.0,180.0,"['ALLOW   PEP POL ARO PRO', 'adm jr. 4/10/91, acetamide update']",1998
H,NH2,CC,CT2,1.4,2.0,180.0,"['ALLOW   PEP POL ARO PRO', 'adm jr. 4/10/91, acetamide update']",2000
H,NH2,CC,CT3,1.4,2.0,180.0,"['ALLOW   PEP POL ARO PRO', 'adm jr. 4/10/91, acetamide update']",2002
H,NH2,CC,CP1,2.5,2.0,180.0,"['ALLOW PEP POL ARO PRO', '6-31g* AcProNH2, ProNH2, 6-31g*//3-21g AcProNHCH3 RLD 4/23/93']",2004
H,NR1,CPH1,CPH1,1.0,2.0,180.0,"['ALLOW ARO', 'his, adm jr., 7/20/89']",2006
H,NR1,CPH1,CT2,1.0,2.0,180.0,"['ALLOW ARO', 'his, adm jr., 7/22/89, FROM HA CPH1 NR1 H']",2008
H,NR1,CPH1,CT3,1.0,2.0,180.0,"['ALLOW ARO', 'his, adm jr., 7/22/89, FROM HA CPH1 NR1 H']",2010
H,NR3,CPH1,CPH1,1.4,2.0,180.0,"['ALLOW ARO', 'his, adm jr., 6/27/90']",2012
H,NR3,CPH1,CT2,3.0,2.0,180.0,"['ALLOW ARO', 'his, adm jr., 7/22/89, FROM HC NR3 CPH1 HA']",2014
H,NR3,CPH1,CT3,3.0,2.0,180.0,"['ALLOW ARO', 'his, adm jr., 7/22/89, FROM HC NR3 CPH1 HA']",2016
H,OH1,CA,CA,0.99,2.0,180.0,"['ALLOW   ARO ALC', 'phenol OH rot bar, 3.37 kcal/mole, adm jr. 3/7/92']",2018
H,OH1,CT1,CT3,1.33,1.0,0.0,"['ALLOW ALC', '2-propanol OH hf/6-31g* torsional surface, adm jr., 3/2/93']",2020
H,OH1,CT1,CT3,0.18,2.0,0.0,"['ALLOW ALC', '2-propanol OH hf/6-31g* torsional surface, adm jr., 3/2/93']",2022
H,OH1,CT1,CT3,0.32,3.0,0.0,"['ALLOW ALC', '2-propanol OH hf/6-31g* torsional surface, adm jr., 3/2/93']",2024
H,OH1,CT2,CT2,1.3,1.0,0.0,"['ALLOW ALC', 'ethanol OH hf/6-31g* torsional surface, adm jr., 3/2/93']",2026
H,OH1,CT2,CT2,0.3,2.0,0.0,"['ALLOW ALC', 'ethanol OH hf/6-31g* torsional surface, adm jr., 3/2/93']",2028
H,OH1,CT2,CT2,0.42,3.0,0.0,"['ALLOW ALC', 'ethanol OH hf/6-31g* torsional surface, adm jr., 3/2/93']",2030
H,OH1,CT2,CT3,1.3,1.0,0.0,"['ALLOW ALC', 'ethanol OH hf/6-31g* torsional surface, adm jr., 3/2/93']",2032
H,OH1,CT2,CT3,0.3,2.0,0.0,"['ALLOW ALC', 'ethanol OH hf/6-31g* torsional surface, adm jr., 3/2/93']",2034
H,OH1,CT2,CT3,0.42,3.0,0.0,"['ALLOW ALC', 'ethanol OH hf/6-31g* torsional surface, adm jr., 3/2/93']",2036
HA1,CC,NH2,H,1.4,2.0,180.0,"['ALLOW PEP POL', 'adm jr. 4/10/91, acetamide update']",2038
HA2,CP3,N,C,0.0,3.0,180.0,"['ALLOW PRO PEP', '6-31g* AcProNH2, ProNH2, 6-31g*//3-21g AcProNHCH3 RLD 4/23/93']",2040
HA2,CP3,N,CP1,0.1,3.0,0.0,"['ALLOW PRO', '6-31g* AcProNH2, ProNH2, 6-31g*//3-21g AcProNHCH3 RLD 4/23/93']",2042
HA2,CP3,NP,CP1,0.08,3.0,0.0,"['ALLOW PRO', '6-31g* AcProNH2, ProNH2, 6-31g*//3-21g AcProNHCH3 RLD 4/23/93']",2044
HA1,CT1,CT2,CA,0.04,3.0,0.0,"['ALLOW   ARO', '2.7 kcal/mole CH3 rot in ethylbenzene, adm jr, 3/7/92']",2046
HA2,CT2,CPH1,CPH1,0.0,3.0,0.0,"['ALLOW ARO', '4-methylimidazole 4-21G//6-31G* rot bar. adm jr., 9/4/89']",2048
HA2,CT2,NH1,C,0.0,3.0,0.0,"['ALLOW PEP', 'LK for autogenerate dihe, sp2-methyl, no dihedral potential']",2050
HA2,CT2,NH1,H,0.0,3.0,0.0,"['ALLOW PEP', 'LK for autogenerate dihe, sp2-methyl, no dihedral potential']",2052
HA2,CT2,S,CT3,0.28,3.0,0.0,"['ALLOW   ALI SUL ION', 'DTN 8/24/90']",2054
HA3,CT3,CPH1,CPH1,0.0,3.0,0.0,"['ALLOW ARO', '4-methylimidazole 4-21G//6-31G* rot bar. adm jr., 9/4/89']",2056
HA3,CT3,CS,HA2,0.16,3.0,0.0,"['ALLOW SUL', 'ethylthiolate 6-31+G* geom/freq, adm jr., 6/1/92']",2058
HA3,CT3,CS,HA3,0.16,3.0,0.0,"['ALLOW SUL', 'ethylthiolate 6-31+G* geom/freq, adm jr., 6/1/92']",2060
HA3,CT3,CT2,CA,0.04,3.0,0.0,"['ALLOW   ARO', '2.7 kcal/mole CH3 rot in ethylbenzene, adm jr, 3/7/92']",2062
HA3,CT3,NH1,C,0.0,3.0,0.0,"['ALLOW PEP', 'LK for autogenerate dihe, sp2-methyl, no dihedral potential']",2064
HA3,CT3,NH1,H,0.0,3.0,0.0,"['ALLOW PEP', 'LK for autogenerate dihe, sp2-methyl, no dihedral potential']",2066
HA3,CT3,S,CT2,0.28,3.0,0.0,"['ALLOW   ALI SUL ION', 'DTN 8/24/90']",2068
HE1,CE1,CE1,HE1,1.0,2.0,180.0,"['2-butene, adm jr., 8/98 update']",2070
CT3,CE1,CE1,HE1,1.0,2.0,180.0,"['2-butene, adm jr., 8/98 update']",2072
HE1,CE1,CE2,HE2,5.2,2.0,180.0,"['for propene, yin/adm jr., 12/95']",2074
HE1,CE1,CT2,HA2,0.0,3.0,0.0,"['butene, adm jr., 2/00 update']",2076
HE1,CE1,CT2,CT3,0.12,3.0,0.0,"['for butene, yin/adm jr., 12/95']",2078
HE1,CE1,CT3,HA3,0.0,3.0,0.0,"['butene, adm jr., 2/00 update']",2080
HE2,CE2,CE1,CT2,5.2,2.0,180.0,"['for butene, yin/adm jr., 12/95']",2082
HB1,CP1,N,C,0.8,3.0,0.0,"['ALLOW PRO PEP', '6-31g* AcProNH2, ProNH2, 6-31g*//3-21g AcProNHCH3 RLD 4/23/93']",2084
HB1,CP1,N,CP3,0.1,3.0,0.0,"['ALLOW PRO', '6-31g* AcProNH2, ProNH2, 6-31g*//3-21g AcProNHCH3 RLD 4/23/93']",2086
HB1,CP1,NP,CP3,0.08,3.0,0.0,"['ALLOW PRO', '6-31g* AcProNH2, ProNH2, 6-31g*//3-21g AcProNHCH3 RLD 4/23/93']",2088
HB1,CT1,NH1,C,0.0,1.0,0.0,"['ALLOW PEP', ""Alanine Dipeptide ab initio calc's (LK)""]",2090
HB1,CT1,NH1,H,0.0,1.0,0.0,"['ALLOW PEP', ""Alanine Dipeptide ab initio calc's (LK)""]",2092
HB2,CT2,NH1,C,0.0,1.0,0.0,"['ALLOW PEP', ""Alanine Dipeptide ab initio calc's (LK)""]",2094
HB2,CT2,NH1,H,0.0,1.0,0.0,"['ALLOW PEP', ""Alanine Dipeptide ab initio calc's (LK)""]",2096
HC,NH2,CT2,HB2,0.11,3.0,0.0,"['from X CT3 NH2 X, neutral glycine, adm jr.']",2098
HC,NH2,CT2,CD,0.11,3.0,0.0,"['from X CT3 NH2 X, neutral glycine, adm jr.']",2100
HC,NH2,CT2,CT2,0.11,3.0,0.0,"['from X CT3 NH2 X, neutral lysine']",2102
HC,NH2,CT2,HA2,0.11,3.0,0.0,"['from X CT3 NH2 X, neutral lysine']",2104
HC,NP,CP1,C,0.08,3.0,0.0,"['ALLOW PRO', '6-31g* AcProNH2, ProNH2, 6-31g*//3-21g AcProNHCH3 RLD 4/23/93']",2106
HC,NP,CP1,CC,0.08,3.0,0.0,"['ALLOW PRO', '6-31g* AcProNH2, ProNH2, 6-31g*//3-21g AcProNHCH3 RLD 4/23/93']",2108
HC,NP,CP1,CD,0.08,3.0,0.0,"['ALLOW PRO PEP', '6-31g* AcProNH2, ProNH2, 6-31g*//3-21g AcProNHCH3 RLD 4/23/93']",2110
HC,NP,CP1,CP2,0.08,3.0,0.0,"['ALLOW PRO', '6-31g* AcProNH2, ProNH2, 6-31g*//3-21g AcProNHCH3 RLD 4/23/93']",2112
HC,NP,CP1,HB1,0.08,3.0,0.0,"['ALLOW PRO', '6-31g* AcProNH2, ProNH2, 6-31g*//3-21g AcProNHCH3 RLD 4/23/93']",2114
HC,NP,CP3,CP2,0.08,3.0,0.0,"['ALLOW PRO', '6-31g* AcProNH2, ProNH2, 6-31g*//3-21g AcProNHCH3 RLD 4/23/93']",2116
HC,NP,CP3,HA2,0.08,3.0,0.0,"['ALLOW PRO', '6-31g* AcProNH2, ProNH2, 6-31g*//3-21g AcProNHCH3 RLD 4/23/93']",2118
HP,CA,CA,CA,4.2,2.0,180.0,"['ALLOW   ARO', 'JES 8/25/89 benzene']",2120
H,CA,CA,CA,4.2,2.0,180.0,"['ALLOW   ARO', 'By ChengZhu Dummmy benzene']",2122
HP,CA,CA,CT2,4.2,2.0,180.0,"['ALLOW   ARO', 'JES 8/25/89 toluene and ethylbenzene']",2124
HP,CA,CA,CT3,4.2,2.0,180.0,"['ALLOW   ARO', 'toluene, adm jr., 3/7/92']",2126
HP,CA,CA,HP,2.4,2.0,180.0,"['ALLOW   ARO', 'JES 8/25/89 benzene']",2128
H,CA,CA,H,2.4,2.0,180.0,"['ALLOW   ARO', 'By ChengZhu Dummmy benzene']",2130
HR1,CPH1,CPH1,CT2,1.0,2.0,180.0,"['ALLOW ARO', 'his, adm jr., 6/27/90']",2132
HR1,CPH1,CPH1,CT3,1.0,2.0,180.0,"['ALLOW ARO', 'his, adm jr., 6/27/90']",2134
HR1,CPH1,CPH1,HR1,1.0,2.0,180.0,"['ALLOW ARO', 'his, adm jr., 6/27/90, his']",2136
HR1,CPH1,NR3,CPH2,2.5,2.0,180.0,"['ALLOW ARO', 'his, adm jr., 6/27/90']",2138
HR1,CPH1,NR3,H,3.0,2.0,180.0,"['ALLOW ARO', 'his, adm jr., 6/27/90']",2140
HR1,CPH2,NR1,CPH1,3.0,2.0,180.0,"['ALLOW ARO', 'his, adm jr., 6/27/90']",2142
HR1,CPH2,NR1,H,1.0,2.0,180.0,"['ALLOW ARO', 'his, adm jr., 6/27/90']",2144
HR1,CPH2,NR2,CPH1,3.0,2.0,180.0,"['ALLOW ARO', 'his, adm jr., 6/27/90']",2146
HR2,CPH2,NR3,CPH1,3.0,2.0,180.0,"['ALLOW ARO', 'his, adm jr., 6/27/90']",2148
HR2,CPH2,NR3,H,0.0,2.0,180.0,"['ALLOW ARO', 'his, adm jr., 6/27/90, YES, 0.0']",2150
HR2,CPH2,NR3,hiff,0.0,2.0,180.0,"['ALLOW ARO', 'his, adm jr., 6/27/90, YES, 0.0']",2152
HR3,CPH1,CPH1,CT2,2.0,2.0,180.0,"['ALLOW ARO', 'adm jr., 3/24/92, maintain old aliphatic H VDW params']",2154
HR3,CPH1,CPH1,CT3,2.0,2.0,180.0,"['ALLOW ARO', 'adm jr., 3/24/92, maintain old aliphatic H VDW params']",2156
HR3,CPH1,CPH1,HR3,2.0,2.0,180.0,"['ALLOW ARO', 'adm jr., 3/24/92, maintain old aliphatic H VDW params']",2158
HR3,CPH1,NR1,CPH2,3.0,2.0,180.0,"['ALLOW ARO', 'adm jr., 3/24/92, maintain old aliphatic H VDW params']",2160
HR3,CPH1,NR1,H,1.0,2.0,180.0,"['ALLOW ARO', 'adm jr., 3/24/92, maintain old aliphatic H VDW params']",2162
HR3,CPH1,NR2,CPH2,3.0,2.0,180.0,"['ALLOW ARO', 'adm jr., 3/24/92, maintain old aliphatic H VDW params']",2164
HS,S,CT2,CT3,0.24,1.0,0.0,"['ALLOW   ALI SUL ION', 'ethanethiol C-C-S-H surface, adm jr., 4/18/93']",2166
HS,S,CT2,CT3,0.15,2.0,0.0,"['ALLOW   ALI SUL ION', 'ethanethiol C-C-S-H surface, adm jr., 4/18/93']",2168
HS,S,CT2,CT3,0.27,3.0,0.0,"['ALLOW   ALI SUL ION', 'ethanethiol C-C-S-H surface, adm jr., 4/18/93']",2170
HS,S,CT2,HA2,0.2,3.0,0.0,"['ALLOW   ALI SUL ION', 'methanethiol pure solvent, adm jr., 6/22/92']",2172
HS,S,CT3,HA3,0.2,3.0,0.0,"['ALLOW   ALI SUL ION', 'methanethiol pure solvent, adm jr., 6/22/92']",2174
N,C,CP1,CP2,0.4,1.0,0.0,"['ALLOW PEP PRO', '6-31g* AcProNH2, ProNH2, 6-31g*//3-21g AcProNHCH3 RLD 4/23/93']",2176
N,C,CP1,CP2,0.6,2.0,0.0,"['ALLOW PEP PRO', '6-31g* AcProNH2, ProNH2, 6-31g*//3-21g AcProNHCH3 RLD 4/23/93']",2178
N,C,CP1,HB1,0.4,1.0,180.0,"['ALLOW PEP PRO', '6-31g* AcProNH2, ProNH2, 6-31g*//3-21g AcProNHCH3 RLD 4/23/93']",2180
N,C,CP1,HB1,0.6,2.0,0.0,"['ALLOW PEP PRO', '6-31g* AcProNH2, ProNH2, 6-31g*//3-21g AcProNHCH3 RLD 4/23/93']",2182
N,C,CP1,N,0.3,1.0,0.0,"['ALLOW PEP PRO', '6-31g* AcProNH2, ProNH2, 6-31g*//3-21g AcProNHCH3 RLD 4/23/93']",2184
,,,,,,,['Unparsed line: N    C    CP1  N       -0.3000  4     0.00 ! ALLOW PEP PRO'],2186
N,C,CT1,CT1,0.0,1.0,0.0,"['ALLOW PEP PRO', '6-31g* AcProNH2, ProNH2, 6-31g*//3-21g AcProNHCH3 RLD 4/23/93']",2188
N,C,CT1,CT2,0.0,1.0,0.0,"['ALLOW PEP PRO', '6-31g* AcProNH2, ProNH2, 6-31g*//3-21g AcProNHCH3 RLD 4/23/93']",2190
N,C,CT1,CT3,0.0,1.0,0.0,"['ALLOW PEP PRO', '6-31g* AcProNH2, ProNH2, 6-31g*//3-21g AcProNHCH3 RLD 4/23/93']",2192
N,C,CT1,HB1,0.0,1.0,0.0,"['ALLOW PEP PRO', '6-31g* AcProNH2, ProNH2, 6-31g*//3-21g AcProNHCH3 RLD 4/23/93']",2194
N,C,CT2,HB2,0.0,1.0,0.0,"['ALLOW PEP PRO', '6-31g* AcProNH2, ProNH2, 6-31g*//3-21g AcProNHCH3 RLD 4/23/93']",2196
N,C,CT3,HA3,0.0,1.0,0.0,"['ALLOW PEP PRO', '6-31g* AcProNH2, ProNH2, 6-31g*//3-21g AcProNHCH3 RLD 4/23/93']",2198
N,CT1,CT2,CA,0.04,3.0,0.0,"['ALLOW   ARO', '2.7 kcal/mole CH3 rot in ethylbenzene, adm jr, 3/7/92']",2200
NH1,C,CP1,CP2,0.4,1.0,0.0,"['ALLOW PEP PRO', '6-31g* AcProNH2, ProNH2, 6-31g*//3-21g AcProNHCH3 RLD 4/23/93']",2202
NH1,C,CP1,CP2,0.6,2.0,0.0,"['ALLOW PEP PRO', '6-31g* AcProNH2, ProNH2, 6-31g*//3-21g AcProNHCH3 RLD 4/23/93']",2204
NH1,C,CP1,HB1,0.4,1.0,180.0,"['ALLOW PEP PRO', '6-31g* AcProNH2, ProNH2, 6-31g*//3-21g AcProNHCH3 RLD 4/23/93']",2206
NH1,C,CP1,HB1,0.6,2.0,0.0,"['ALLOW PEP PRO', '6-31g* AcProNH2, ProNH2, 6-31g*//3-21g AcProNHCH3 RLD 4/23/93']",2208
NH1,C,CP1,N,0.3,1.0,0.0,"['ALLOW PEP PRO', '6-31g* AcProNH2, ProNH2, 6-31g*//3-21g AcProNHCH3 RLD 4/23/93']",2210
,,,,,,,['Unparsed line: NH1  C    CP1  N       -0.3000  4     0.00 ! ALLOW PEP PRO'],2212
NH1,C,CT1,CT1,0.0,1.0,0.0,"['ALLOW PEP', 'ala dipeptide corrxn for new C VDW Rmin, 4/10/93 (LK)']",2214
NH1,C,CT1,CT2,0.0,1.0,0.0,"['ALLOW PEP', 'ala dipeptide corrxn for new C VDW Rmin, 4/10/93 (LK)']",2216
NH1,C,CT1,CT3,0.0,1.0,0.0,"['ALLOW PEP', 'ala dipeptide corrxn for new C VDW Rmin, 4/10/93 (LK)']",2218
NH1,C,CT1,HB1,0.0,1.0,0.0,"['ALLOW PEP', ""Alanine Dipeptide ab initio calc's (LK)""]",2220
NH1,C,CT1,NH1,0.6,1.0,0.0,"['ALLOW PEP', 'ala dipeptide update for new C VDW Rmin, adm jr., 3/3/93']",2222
NH1,C,CT2,CT2,0.0,1.0,0.0,"['ALLOW PEP', 'from NH1  C    CT1  CT2, for lactams, adm jr.']",2224
NH1,C,CT2,HA2,0.0,3.0,0.0,"['ALLOW PEP', 'LK for autogenerate dihe, sp2-methyl, no dihedral potential']",2226
NH1,C,CT2,HB2,0.0,1.0,0.0,"['ALLOW PEP', ""Alanine Dipeptide ab initio calc's (LK)""]",2228
NH1,C,CT2,NH1,0.6,1.0,0.0,"['ALLOW PEP', 'ala dipeptide update for new C VDW Rmin, adm jr., 3/3/93']",2230
NH1,C,CT3,HA3,0.0,3.0,0.0,"['ALLOW PEP', 'LK for autogenerate dihe, sp2-methyl, no dihedral potential']",2232
NH1,CT1,C,N,0.4,1.0,0.0,"['ALLOW PEP PRO', '6-31g* AcProNH2, ProNH2, 6-31g*//3-21g AcProNHCH3 RLD 4/23/93']",2234
NH1,CT2,C,N,0.4,1.0,0.0,"['ALLOW PEP PRO', '6-31g* AcProNH2, ProNH2, 6-31g*//3-21g AcProNHCH3 RLD 4/23/93']",2236
NH1,C,CT2,OPE,0.6,1.0,0.0,"['Added by sam most likely wrong', 'Assumed OPE=NH1 based on similar charge/size']",2238
NH2,CC,CP1,CP2,0.4,1.0,0.0,"['ALLOW PEP PRO', '6-31g* AcProNH2, ProNH2, 6-31g*//3-21g AcProNHCH3 RLD 4/23/93']",2240
NH2,CC,CP1,CP2,0.6,2.0,0.0,"['ALLOW PEP PRO', '6-31g* AcProNH2, ProNH2, 6-31g*//3-21g AcProNHCH3 RLD 4/23/93']",2242
NH2,CC,CP1,HB1,0.4,1.0,180.0,"['ALLOW PEP PRO', '6-31g* AcProNH2, ProNH2, 6-31g*//3-21g AcProNHCH3 RLD 4/23/93']",2244
NH2,CC,CP1,HB1,0.6,2.0,0.0,"['ALLOW PEP PRO', '6-31g* AcProNH2, ProNH2, 6-31g*//3-21g AcProNHCH3 RLD 4/23/93']",2246
NH2,CC,CP1,N,0.3,1.0,0.0,"['ALLOW PEP PRO', '6-31g* AcProNH2, ProNH2, 6-31g*//3-21g AcProNHCH3 RLD 4/23/93']",2248
,,,,,,,['Unparsed line: NH2  CC   CP1  N       -0.3000  4     0.00 ! ALLOW PEP PRO'],2250
NH2,CC,CT2,HA2,0.0,3.0,180.0,"['ALLOW POL', 'adm jr., 8/13/90 acetamide geometry and vibrations']",2252
NH3,CT1,C,N,0.4,1.0,0.0,"['ALLOW PEP PRO', '6-31g* AcProNH2, ProNH2, 6-31g*//3-21g AcProNHCH3 RLD 4/23/93']",2254
NH3,CT1,C,NH1,0.6,1.0,0.0,"['ALLOW PEP PRO', 'ala dipeptide update for new C VDW Rmin, adm jr., 3/3/93']",2256
NH3,CT1,CC,NH2,0.4,1.0,0.0,"['ALLOW PEP PRO', 'Alanine dipeptide; NMA; acetate; etc. backbone param. RLD 3/22/92']",2258
NH3,CT2,C,N,0.4,1.0,0.0,"['ALLOW PEP PRO', '6-31g* AcProNH2, ProNH2, 6-31g*//3-21g AcProNHCH3 RLD 4/23/93', '!!NH3  CT2  C    NH1      0.4000  1     0.00 ! ALLOW PEP PRO', '!!                ! adm jr. 3/24/92, for PRES GLYP']",2260
NH3,CT2,C,NH1,1.0,1.0,0.0,"['ALLOW PEP PRO', 'RB 1/07/11, based on graf et al Gly 3 N-ter J-couplings for PRES GLYP']",2264
NH3,CT2,CC,NH2,0.4,1.0,0.0,"['ALLOW PEP PRO', 'Alanine dipeptide; NMA; acetate; etc. backbone param. RLD 3/22/92']",2266
NP,CP1,C,N,0.3,1.0,0.0,"['ALLOW PEP PRO', '6-31g* AcProNH2, ProNH2, 6-31g*//3-21g AcProNHCH3 RLD 4/23/93']",2268
NP,CP1,C,NH1,0.3,1.0,0.0,"['ALLOW PEP PRO', '6-31g* AcProNH2, ProNH2, 6-31g*//3-21g AcProNHCH3 RLD 4/23/93']",2270
NP,CP1,CC,NH2,0.3,1.0,0.0,"['ALLOW PEP PRO', '6-31g* AcProNH2, ProNH2, 6-31g*//3-21g AcProNHCH3 RLD 4/23/93']",2272
NR1,CPH1,CPH1,CT2,3.0,2.0,180.0,"['ALLOW ARO', 'his, ADM JR., 7/22/89, FROM NR1 CPH1 CPH1 HA']",2274
NR1,CPH1,CPH1,CT3,3.0,2.0,180.0,"['ALLOW ARO', 'his, ADM JR., 7/22/89, FROM NR1 CPH1 CPH1 HA']",2276
NR1,CPH1,CPH1,HR3,3.0,2.0,180.0,"['ALLOW ARO', 'adm jr., 3/24/92, maintain old aliphatic H VDW params']",2278
NR1,CPH1,CT2,CT2,0.19,3.0,0.0,"['ALLOW ARO', '4-METHYLIMIDAZOLE 4-21G//6-31G* ROT BAR. ADM JR., 9/4/89']",2280
NR1,CPH1,CT2,CT3,0.19,3.0,0.0,"['ALLOW ARO', '4-METHYLIMIDAZOLE 4-21G//6-31G* ROT BAR. ADM JR., 9/4/89']",2282
