Atom 1,Atom 2,Atom 3,Atom 4,Kchi,Multiplicity (n),Delta,Comments,Line Number
NR1,CPH1,CT2,HA2,0.19,3.0,0.0,"['ALLOW ARO', '4-METHYLIMIDAZOLE 4-21G//6-31G* ROT BAR. ADM JR., 9/4/89']",2284
NR1,CPH1,CT3,HA3,0.19,3.0,0.0,"['ALLOW ARO', '4-METHYLIMIDAZOLE 4-21G//6-31G* ROT BAR. ADM JR., 9/4/89']",2286
NR1,CPH2,NR2,CPH1,14.0,2.0,180.0,"['ALLOW ARO', 'his, ADM JR., 7/20/89']",2288
NR2,CPH1,CPH1,CT2,3.0,2.0,180.0,"['ALLOW ARO', 'his, ADM JR., 7/22/89, FROM NR2 CPH1 CPH1 HA']",2290
NR2,CPH1,CPH1,CT3,3.0,2.0,180.0,"['ALLOW ARO', 'his, ADM JR., 7/22/89, FROM NR2 CPH1 CPH1 HA']",2292
NR2,CPH1,CPH1,HR3,3.0,2.0,180.0,"['ALLOW ARO', 'adm jr., 3/24/92, maintain old aliphatic H VDW params']",2294
NR2,CPH1,CPH1,NR1,14.0,2.0,180.0,"['ALLOW ARO', 'his, ADM JR., 7/20/89', 'NR2  CPH1 CT2  CT1      0.1900  3     0.00 ! ALLOW ARO', 'HIS CB-CG TORSION,']",2296
NR2,CPH1,CT2,CT2,0.19,3.0,0.0,"['ALLOW ARO', 'HIS CB-CG TORSION,']",2300
NR2,CPH1,CT2,CT3,0.19,3.0,0.0,"['ALLOW ARO', 'HIS CB-CG TORSION,']",2302
NR2,CPH1,CT2,HA2,0.19,3.0,0.0,"['ALLOW ARO', '4-METHYLIMIDAZOLE 4-21G//6-31G* ROT BAR. ADM JR., 9/4/89']",2304
NR2,CPH1,CT3,HA3,0.19,3.0,0.0,"['ALLOW ARO', '4-METHYLIMIDAZOLE 4-21G//6-31G* ROT BAR. ADM JR., 9/4/89']",2306
NR2,CPH2,NR1,CPH1,14.0,2.0,180.0,"['ALLOW ARO', 'his, ADM JR., 7/20/89']",2308
NR2,CPH2,NR1,H,1.0,2.0,180.0,"['ALLOW ARO', 'his, ADM JR., 7/20/89']",2310
NR3,CPH1,CPH1,CT2,2.5,2.0,180.0,"['ALLOW ARO', 'his, adm jr., 6/27/90']",2312
NR3,CPH1,CPH1,CT3,2.5,2.0,180.0,"['ALLOW ARO', 'his, adm jr., 6/27/90']",2314
NR3,CPH1,CPH1,HR1,2.5,2.0,180.0,"['ALLOW ARO', 'his, adm jr., 6/27/90']",2316
NR3,CPH1,CPH1,NR3,12.0,2.0,180.0,"['ALLOW ARO', 'his, adm jr., 6/27/90']",2318
NR3,CPH1,CT2,CT2,0.19,3.0,0.0,"['ALLOW ARO', '4-METHYLIMIDAZOLE 4-21G//6-31G* ROT BAR. ADM JR., 9/4/89']",2320
NR3,CPH1,CT2,CT3,0.19,3.0,0.0,"['ALLOW ARO', '4-METHYLIMIDAZOLE 4-21G//6-31G* ROT BAR. ADM JR., 9/4/89']",2322
NR3,CPH1,CT2,HA2,0.19,3.0,0.0,"['ALLOW ARO', '4-METHYLIMIDAZOLE 4-21G//6-31G* ROT BAR. ADM JR., 9/4/89']",2324
NR3,CPH1,CT3,HA3,0.19,3.0,0.0,"['ALLOW ARO', '4-METHYLIMIDAZOLE 4-21G//6-31G* ROT BAR. ADM JR., 9/4/89']",2326
NR3,CPH2,NR3,CPH1,12.0,2.0,180.0,"['ALLOW ARO', 'his, ADM JR., 7/20/89']",2328
NR3,CPH2,NR3,H,1.4,2.0,180.0,"['ALLOW ARO', 'his, adm jr., 6/27/90']",2330
O,C,CP1,CP2,0.4,1.0,180.0,"['ALLOW PEP PRO', '6-31g* AcProNH2, ProNH2, 6-31g*//3-21g AcProNHCH3 RLD 4/23/93']",2332
O,C,CP1,CP2,0.6,2.0,0.0,"['ALLOW PEP PRO', '6-31g* AcProNH2, ProNH2, 6-31g*//3-21g AcProNHCH3 RLD 4/23/93']",2334
O,C,CP1,HB1,0.4,1.0,0.0,"['ALLOW PEP PRO', '6-31g* AcProNH2, ProNH2, 6-31g*//3-21g AcProNHCH3 RLD 4/23/93']",2336
O,C,CP1,HB1,0.6,2.0,0.0,"['ALLOW PEP PRO', '6-31g* AcProNH2, ProNH2, 6-31g*//3-21g AcProNHCH3 RLD 4/23/93']",2338
,,,,,,,['Unparsed line: O    C    CP1  N       -0.3000  4     0.00 ! ALLOW PEP PRO'],2340
O,C,CT1,CT1,1.4,1.0,0.0,"['ALLOW PEP', 'ala dipeptide update for new C VDW Rmin, adm jr., 3/3/93c']",2342
O,C,CT1,CT2,1.4,1.0,0.0,"['ALLOW PEP', 'ala dipeptide update for new C VDW Rmin, adm jr., 3/3/93c']",2344
O,C,CT1,CT3,1.4,1.0,0.0,"['ALLOW PEP', 'ala dipeptide update for new C VDW Rmin, adm jr., 3/3/93c']",2346
O,C,CT1,HB1,0.0,1.0,0.0,"['ALLOW PEP', ""Alanine Dipeptide ab initio calc's (LK)""]",2348
O,C,CT1,NH1,0.0,1.0,0.0,"['ALLOW PEP', ""Alanine Dipeptide ab initio calc's (LK)""]",2350
O,C,CT1,NH3,0.0,1.0,0.0,"['ALLOW PEP PRO', 'Backbone parameter set made complete RLD 8/8/90']",2352
O,C,CT2,CT2,1.4,1.0,0.0,"['ALLOW PEP', 'from O    C    CT1  CT2, for lactams, adm jr.']",2354
O,C,CT2,HA2,0.0,3.0,180.0,"['ALLOW POL', 'adm jr., 8/13/90 acetamide geometry and vibrations']",2356
O,C,CT2,HB2,0.0,1.0,0.0,"['ALLOW PEP', ""Alanine Dipeptide ab initio calc's (LK)""]",2358
O,C,CT2,NH1,0.0,1.0,0.0,"['ALLOW PEP', ""Alanine Dipeptide ab initio calc's (LK)""]",2360
O,C,CT2,NH3,0.0,1.0,0.0,"['ALLOW PEP PRO', 'Backbone parameter set made complete RLD 8/8/90']",2362
O,C,CT3,HA3,0.0,3.0,180.0,"['ALLOW POL', 'adm jr., 8/13/90 acetamide geometry and vibrations']",2364
O,C,N,CP1,2.75,2.0,180.0,"['ALLOW PRO', '6-31g* AcProNH2, ProNH2, 6-31g*//3-21g AcProNHCH3 RLD 4/23/93']",2366
O,C,N,CP1,0.3,4.0,0.0,"['ALLOW PRO', '6-31g* AcProNH2, ProNH2, 6-31g*//3-21g AcProNHCH3 RLD 4/23/93']",2368
O,C,N,CP3,2.75,2.0,180.0,"['ALLOW PRO', '6-31g* AcProNH2, ProNH2, 6-31g*//3-21g AcProNHCH3 RLD 4/23/93']",2370
O,C,N,CP3,0.3,4.0,0.0,"['ALLOW PRO', '6-31g* AcProNH2, ProNH2, 6-31g*//3-21g AcProNHCH3 RLD 4/23/93']",2372
O,C,NH1,CT1,2.5,2.0,180.0,"['ALLOW PEP', 'Gives appropriate NMA cis/trans barrier. (LK)']",2374
O,C,NH1,CT2,2.5,2.0,180.0,"['ALLOW PEP', 'Gives appropriate NMA cis/trans barrier. (LK)']",2376
O,C,NH1,CT3,2.5,2.0,180.0,"['ALLOW PEP', 'Gives appropriate NMA cis/trans barrier. (LK)']",2378
O,C,NH1,H,2.5,2.0,180.0,"['ALLOW PEP', 'Gives appropriate NMA cis/trans barrier. (LK)']",2380
O,CC,CP1,CP2,0.4,1.0,180.0,"['ALLOW PEP PRO', '6-31g* AcProNH2, ProNH2, 6-31g*//3-21g AcProNHCH3 RLD 4/23/93']",2382
O,CC,CP1,CP2,0.6,2.0,0.0,"['ALLOW PEP PRO', '6-31g* AcProNH2, ProNH2, 6-31g*//3-21g AcProNHCH3 RLD 4/23/93']",2384
O,CC,CP1,HB1,0.4,1.0,0.0,"['ALLOW PEP PRO', '6-31g* AcProNH2, ProNH2, 6-31g*//3-21g AcProNHCH3 RLD 4/23/93']",2386
O,CC,CP1,HB1,0.6,2.0,0.0,"['ALLOW PEP PRO', '6-31g* AcProNH2, ProNH2, 6-31g*//3-21g AcProNHCH3 RLD 4/23/93']",2388
,,,,,,,['Unparsed line: O    CC   CP1  N       -0.3000  4     0.00 ! ALLOW PEP PRO'],2390
O,CC,CT2,HA2,0.0,3.0,180.0,"['ALLOW POL', 'adm jr. 4/05/91, for asn,asp,gln,glu and cters']",2392
O,CC,NH2,H,1.4,2.0,180.0,"['ALLOW PEP POL ARO PRO', 'adm jr. 4/10/91, acetamide update']",2394
O,C,CT2,OPE,0.0,1.0,0.0,"['Most likely Wrong-Added by Sam', 'Just subbed OPE for NH1 since similar charge/size']",2396
OB,CD,OS,CT2,0.965,1.0,180.0,"['ALLOW   PEP POL', 'adm jr. 3/19/92, from lipid methyl acetate']",2398
OB,CD,OS,CT2,3.85,2.0,180.0,"['ALLOW   PEP POL', 'adm jr. 3/19/92, from lipid methyl acetate']",2400
OB,CD,OS,CT3,0.965,1.0,180.0,"['ALLOW   PEP POL', 'adm jr. 3/19/92, from lipid methyl acetate']",2402
OB,CD,OS,CT3,3.85,2.0,180.0,"['ALLOW   PEP POL', 'adm jr. 3/19/92, from lipid methyl acetate']",2404
OC,CA,CA,CA,3.1,2.0,180.0,"['ALLOW   ARO', 'adm jr. 8/27/91, phenoxide']",2406
OC,CA,CA,HP,4.2,2.0,180.0,"['ALLOW   ARO', 'adm jr. 8/27/91, phenoxide']",2408
OC,CC,CP1,CP2,0.16,3.0,0.0,"['ALLOW PEP PRO POL', '6-31g* AcProNH2, ProNH2, 6-31g*//3-21g AcProNHCH3 RLD 4/23/93']",2410
OC,CC,CP1,HB1,0.16,3.0,0.0,"['ALLOW PEP PRO POL', '6-31g* AcProNH2, ProNH2, 6-31g*//3-21g AcProNHCH3 RLD 4/23/93']",2412
OC,CC,CP1,N,0.16,3.0,0.0,"['ALLOW PEP PRO POL', '6-31g* AcProNH2, ProNH2, 6-31g*//3-21g AcProNHCH3 RLD 4/23/93']",2414
OC,CC,CP1,NP,0.16,3.0,0.0,"['ALLOW PEP PRO POL', '6-31g* AcProNH2, ProNH2, 6-31g*//3-21g AcProNHCH3 RLD 4/23/93']",2416
OC,CC,CT1,NH3,3.2,2.0,180.0,"['ALLOW PEP PRO', 'adm jr. 4/17/94, zwitterionic glycine']",2418
OC,CC,CT2,NH3,3.2,2.0,180.0,"['ALLOW PEP PRO', 'adm jr. 4/17/94, zwitterionic glycine']",2420
OH1,CA,CA,CA,3.1,2.0,180.0,"['ALLOW   ARO', 'JES 8/25/89 phenol']",2422
OH1,CA,CA,HP,4.2,2.0,180.0,"['ALLOW   ARO', 'JES 8/25/89 phenol']",2424
S,CT2,CT2,HA2,0.01,3.0,0.0,"['ALLOW   ALI SUL ION', 'DTN 8/24/90']",2426
SM,CT2,CT2,HA2,0.01,3.0,0.0,"['ALLOW   ALI SUL ION', 'DTN 8/24/90']",2428
SM,SM,CT2,CT1,0.31,3.0,0.0,"['ALLOW  SUL ALI', 'S-S for cys-cys, dummy parameter for now ... DTN  9/04/90']",2430
SM,SM,CT2,CT2,0.31,3.0,0.0,"['ALLOW  SUL ALI', 'S-S for cys-cys, dummy parameter for now ... DTN  9/04/90']",2432
SM,SM,CT2,CT3,0.31,3.0,0.0,"['ALLOW  SUL ALI', 'S-S for cys-cys, dummy parameter for now ... DTN  9/04/90']",2434
SM,SM,CT2,HA2,0.158,3.0,0.0,"['ALLOW   ALI SUL ION', 'expt. dimethyldisulfide,    3/26/92 (FL)']",2436
SM,SM,CT3,HA3,0.158,3.0,0.0,"['ALLOW   ALI SUL ION', 'expt. dimethyldisulfide,    3/26/92 (FL)']",2438
SS,CS,CT3,HA3,0.15,3.0,0.0,"['ALLOW SUL', 'ethylthiolate 6-31+G* geom/freq, adm jr., 6/1/92']",2440
X,C,NC2,X,2.25,2.0,180.0,"['ALLOW   PEP POL ARO', '9.0->2.25 GUANIDINIUM (KK)']",2442
X,CD,OH1,X,2.05,2.0,180.0,"['ALLOW   PEP POL ARO ALC', 'adm jr, 10/17/90, acetic acid C-Oh rotation barrier']",2444
X,CD,OS,X,2.05,2.0,180.0,"['ALLOW   PEP POL', 'adm jr. 3/19/92, from lipid methyl acetate']",2446
X,CE1,CE1,X,0.15,1.0,0.0,"['2-butene, adm jr., 2/00 update']",2448
X,CE1,CE1,X,8.5,2.0,180.0,"['2-butene, adm jr., 2/00 update']",2450
X,CE2,CE2,X,4.9,2.0,180.0,"['for ethene, yin/adm jr., 12/95']",2452
X,CP1,C,X,0.0,6.0,180.0,"['ALLOW   POL PEP PRO', '6-31g* AcProNH2, ProNH2, 6-31g*//3-21g AcProNHCH3 RLD 4/23/93']",2454
X,CP1,CC,X,0.0,6.0,180.0,"['ALLOW   POL PEP', 'changed to 0.0 RLD 5/19/92']",2456
X,CP1,CD,X,0.0,6.0,180.0,"['ALLOW   POL PEP', 'Alanine dipeptide; NMA; acetate; etc. backbone param. RLD 3/22/92']",2458
X,CP1,CP2,X,0.14,3.0,0.0,"['ALLOW PRO', '6-31g* AcProNH2, ProNH2, 6-31g*//3-21g AcProNHCH3 RLD 4/23/93']",2460
X,CP2,CP2,X,0.16,3.0,0.0,"['ALLOW PRO', '6-31g* AcProNH2, ProNH2, 6-31g*//3-21g AcProNHCH3 RLD 4/23/93']",2462
X,CP3,CP2,X,0.14,3.0,0.0,"['ALLOW PRO', '6-31g* AcProNH2, ProNH2, 6-31g*//3-21g AcProNHCH3 RLD 4/23/93']",2464
X,CT1,CC,X,0.05,6.0,180.0,"['ALLOW   POL PEP', 'For side chains of asp,asn,glu,gln, (n=6) from KK(LK)']",2466
X,CT1,CD,X,0.0,6.0,180.0,"['ALLOW   POL PEP', 'adm jr. 3/19/92, from lipid methyl acetate']",2468
X,CT1,CT1,X,0.2,3.0,0.0,"['ALLOW   ALI', 'alkane update, adm jr., 3/2/92']",2470
X,CT1,CT2,X,0.2,3.0,0.0,"['ALLOW   ALI', 'alkane update, adm jr., 3/2/92']",2472
X,CT1,CT3,X,0.2,3.0,0.0,"['ALLOW   ALI', 'alkane update, adm jr., 3/2/92']",2474
X,CT1,NH3,X,0.1,3.0,0.0,"['ALLOW   ALI POL', '0.715->0.10 METHYLAMMONIUM (KK)']",2476
X,CT1,OH1,X,0.14,3.0,0.0,"['ALLOW   ALI ALC ARO', 'EMB  11/21/89 methanol vib fit']",2478
,,,,,,,['Unparsed line: X    CT1  OS   X       -0.1000  3     0.00 ! ALLOW   PEP POL'],2480
X,CT2,CA,X,0.0,6.0,0.0,"['ALLOW   ALI ARO', 'toluene, adm jr., 3/7/92']",2482
X,CT2,CC,X,0.05,6.0,180.0,"['ALLOW   POL PEP', 'For side chains of asp,asn,glu,gln, (n=6) from KK(LK)']",2484
X,CT2,CD,X,0.0,6.0,180.0,"['ALLOW   POL PEP', 'adm jr. 3/19/92, from lipid methyl acetate']",2486
X,CT2,CT2,X,0.19,3.0,0.0,"['ALLOW   ALI', 'alkane, 4/98, yin and mackerell']",2488
X,CT2,CT3,X,0.16,3.0,0.0,"['ALLOW   ALI', 'alkane, 4/98, yin and mackerell']",2490
X,CT2,NC2,X,0.0,6.0,180.0,"['ALLOW   ALI POL', 'methylguanidinium, adm jr., 3/26/92']",2492
X,CT2,NH3,X,0.1,3.0,0.0,"['ALLOW   ALI POL', '0.715->0.10 METHYLAMMONIUM (KK)']",2494
X,CT2,OH1,X,0.14,3.0,0.0,"['ALLOW   ALI ALC ARO', 'EMB  11/21/89 methanol vib fit']",2496
,,,,,,,['Unparsed line: X    CT2  OS   X       -0.1000  3     0.00 ! ALLOW   PEP POL'],2498
X,CT3,CA,X,0.0,6.0,0.0,"['ALLOW   ALI ARO', 'toluene, adm jr., 3/7/92']",2500
X,CT3,CC,X,0.05,6.0,180.0,"['ALLOW   POL PEP', 'For side chains of asp,asn,glu,gln, (n=6) from KK(LK)']",2502
X,CT3,CD,X,0.0,6.0,180.0,"['ALLOW   POL PEP', 'adm jr. 3/19/92, from lipid methyl acetate']",2504
X,CT3,CT3,X,0.1525,3.0,0.0,"['ALLOW   ALI', 'alkane, 4/98, yin and mackerell']",2506
X,CT3,NC2,X,0.0,6.0,180.0,"['ALLOW   ALI POL', 'methylguanidinium, adm jr., 3/26/92']",2508
X,CT3,NH2,X,0.11,3.0,0.0,"['ALLOW   POL', 'methylamine geom/freq, adm jr., 6/2/92']",2510
X,CT3,NH3,X,0.09,3.0,0.0,"['ALLOW   ALI POL', 'fine-tuned to ab initio; METHYLAMMONIUM, KK 03/10/92']",2512
X,CT3,OH1,X,0.14,3.0,0.0,"['ALLOW   ALI ALC ARO', 'EMB  11/21/89 methanol vib fit']",2514
X,cg1,cg1,X,3.1,2.0,180.0,[''],2516
,,,,,,,['Unparsed line: X    CT3  OS   X       -0.1000  3     0.00 ! ALLOW   PEP POL'],2518
cg1,cg1,CT2,CT1,1.07,1.0,0.0,['by ChengZhu Dummy'],2520
cg1,cg1,CT2,CT1,0.24,2.0,180.0,['by ChengZhu Dummy'],2522
cg1,cg1,CT2,CT1,0.17,3.0,180.0,['by ChengZhu Dummy'],2524
HA2,CT2,cg1,cg1,0.0,6.0,0.0,"['From X    CT2  CA   X', 'by ChengZhu Dummy']",2526
H,OH1,cg1,cg1,0.99,2.0,180.0,"['ALLOW   ARO ALC', 'by ChengZhu Dummy']",2528
cge,X,X,X,0.0,4.0,0.0,"['ALLOW   ARO ALC', 'by ChengZhu Dummy']",2530
hiff,CA,CA,X,3.0,2.0,180.0,"['JWK 05/14/91 fit to indole', 'by ChengZhu Dummy PEP']",2532
hiff,NR3,CPH2,NR3,1.4,2.0,180.0,"['JWK 05/14/91 fit to indole', 'by ChengZhu Dummy PEP']",2534
hiff,NR1,CPH2,NR2,1.4,2.0,180.0,"['JWK 05/14/91 fit to indole', 'by ChengZhu Dummy PEP']",2536
hiff,NR3,CPH1,CPH1,1.4,2.0,180.0,"['ALLOW ARO', '!by ChengZhu Dummy PEP  HIS']",2538
hiff,NR1,CPH1,CPH1,1.4,2.0,180.0,"['ALLOW ARO', '!by ChengZhu Dummy PEP\t  HIS']",2540
CT2A,CPH1,NR3,hiff,3.0,2.0,180.0,"['from H    NR3  CPH1 CT2', 'by ChengZhu Dummy PEP']",2542
CT2,CPH1,NR1,hiff,3.0,2.0,180.0,"['from H    NR3  CPH1 CT2', 'by ChengZhu Dummy PEP']",2544
HR1,CPH1,NR3,hiff,3.0,2.0,180.0,"['ALLOW ARO', 'by ChengZhu Dummy PEP']",2546
hiff,NR1,CPH2,HR1,3.0,2.0,180.0,"['JWK 05/14/91 fit to indole', 'by ChengZhu Dummy PEP']",2548
CT1,CT2,OAP1,PAP,0.6,1.0,180.0,"['phosphoserine, from dianionic ethylphosphate']",2550
CT1,CT2,OAP1,PAP,0.65,2.0,0.0,[],2551
CT1,CT2,OAP1,PAP,0.05,3.0,0.0,[],2552
HA2,CT2,OAP1,PAP,0.0,3.0,0.0,"['from P    ON2  CN8B HN8', '', '', '', '', 'chi1/chi2 fitting, Zhu, 2011', 'directly transferred parameters']",2553
NH1,CT1,CT1,HA1,0.2,3.0,0.0,['From X    CT1  CT1  X'],2560
HB1,CT1,CT1,HA1,0.2,3.0,0.0,['From X    CT1  CT1  X'],2561
HB1,CT1,CT1,CT3,0.2,3.0,0.0,['From X    CT1  CT1  X'],2562
HA1,CT1,CT1,C,0.2,3.0,0.0,"['From X    CT1  CT1  X', '']",2563
NH1,CT1,CT2,HA2,0.2,3.0,0.0,['From X    CT1  CT2  X'],2565
HB1,CT1,CT2,HA2,0.2,3.0,0.0,['From X    CT1  CT2  X'],2566
HB1,CT1,CT2,OH1,0.2,3.0,0.0,['From X    CT1  CT2  X'],2567
HB1,CT1,CT2,CT2,0.2,3.0,0.0,['From X    CT1  CT2  X'],2568
HA2,CT2,CT1,C,0.2,3.0,0.0,['From X    CT1  CT2  X'],2569
HA2,CT2,OH1,H,0.14,3.0,0.0,"['From X    CT2  OH1  X', '']",2570
CT1,CT2,CT2,HA2,0.19,3.0,0.0,['From X    CT2  CT2  X'],2572
HA2,CT2,CT2,HA2,0.19,3.0,0.0,['From X    CT2  CT2  X'],2573
HA2,CT2,CT2,CC,0.19,3.0,0.0,"['From X    CT2  CT2  X', '']",2574
HB1,CT1,CT2,S,0.2,3.0,0.0,"['From X    CT1  CT2  X', 'Arg']",2576
CT2,CT2,CT2,HA2,0.19,3.0,0.0,['From X    CT2  CT2  X'],2578
CT2,CT2,CT2,NC2,0.19,3.0,0.0,['From X    CT2  CT2  X'],2579
CT2,CT2,NC2,HC,0.0,6.0,180.0,['From X    CT2  NC2  X'],2580
CT2,CT2,NC2,C,0.0,6.0,180.0,['From X    CT2  NC2  X'],2581
HA2,CT2,CT2,NC2,0.19,3.0,0.0,['From X    CT2  CT2  X'],2582
CT2,NC2,C,NC2,2.25,2.0,180.0,['From X    C    NC2  X'],2583
HA2,CT2,NC2,HC,0.0,6.0,180.0,['From X    CT2  NC2  X'],2584
HA2,CT2,NC2,C,0.0,6.0,180.0,['From X    CT2  NC2  X'],2585
NC2,C,NC2,HC,2.25,2.0,180.0,"['From X    C    NC2  X', 'Asn']",2586
HB1,CT1,CT2,CC,0.2,3.0,0.0,"['From X    CT1  CT2  X', 'Trp']",2588
HB1,CT1,CT2,CY,0.2,3.0,0.0,"['From X    CT1  CT2  X', 'Asp']",2590
HA2,CT2,CC,OC,0.05,6.0,180.0,"['From X    CT2  CC   X', 'Hsd/Hse']",2592
HB1,CT1,CT2,CPH1,0.2,3.0,0.0,"['From X    CT1  CT2  X', 'Ile,Leu,Val']",2594
CT1,CT1,CT3,HA3,0.2,3.0,0.0,['From X    CT1  CT3  X'],2596
CT1,CT1,CT2,HA2,0.2,3.0,0.0,['From X    CT1  CT2  X'],2597
HB1,CT1,CT1,CT2,0.2,3.0,0.0,['From X    CT1  CT1  X'],2598
CT1,CT2,CT3,HA3,0.16,3.0,0.0,['From X    CT2  CT3  X'],2599
HA1,CT1,CT3,HA3,0.2,3.0,0.0,['From X    CT1  CT3  X'],2600
HA1,CT1,CT2,HA2,0.2,3.0,0.0,['From X    CT1  CT2  X'],2601
HA1,CT1,CT2,CT3,0.2,3.0,0.0,['From X    CT1  CT2  X'],2602
CT3,CT1,CT2,HA2,0.2,3.0,0.0,['From X    CT1  CT2  X'],2603
CT3,CT1,CT2,CT3,0.2,3.0,0.0,['From X    CT1  CT2  X'],2604
HA3,CT3,CT1,CT2,0.2,3.0,0.0,['From X    CT1  CT3  X'],2605
HA2,CT2,CT3,HA3,0.16,3.0,0.0,['From X    CT2  CT3  X'],2606
CT1,CT2,CT1,HA1,0.2,3.0,0.0,['From X    CT1  CT2  X'],2607
HB1,CT1,CT2,CT1,0.2,3.0,0.0,['From X    CT1  CT2  X'],2608
CT3,CT1,CT3,HA3,0.2,3.0,0.0,"['From X    CT1  CT3  X', 'Lys']",2609
CT2,CT2,CT2,NH3,0.19,3.0,0.0,['From X    CT2  CT2  X'],2611
CT2,CT2,NH3,HC,0.1,3.0,0.0,['From X    CT2  NH3  X'],2612
HA2,CT2,CT2,NH3,0.19,3.0,0.0,['From X    CT2  CT2  X'],2613
HA2,CT2,NH3,HC,0.1,3.0,0.0,"['From X    CT2  NH3  X', 'Tyr/Phe']",2614
HB1,CT1,CT2,CA,0.2,3.0,0.0,['From X    CT1  CT2  X'],2616
HA2,CT2,CA,CA,0.0,6.0,0.0,"['From X    CT2  CA   X', 'Thr']",2617
HB1,CT1,CT1,OH1,0.2,3.0,0.0,['From X    CT1  CT1  X'],2619
HA1,CT1,OH1,H,0.14,3.0,0.0,['From X    CT1  OH1  X'],2620
OH1,CT1,CT3,HA3,0.2,3.0,0.0,"['From X    CT1  CT3  X', 'Gln']",2621
CT2,CT2,CC,O,0.05,6.0,180.0,['From X    CT2  CC   X'],2623
CT2,CT2,CC,NH2,0.05,6.0,180.0,"['From X    CT2  CC   X', 'Glu']",2624
CT2,CT2,CC,OC,0.05,6.0,180.0,"['From X    CT2  CC   X', 'Glu/Hsp']",2626
NH1,CT1,CT2A,HA2,0.2,3.0,0.0,['From X    CT1  CT2  X'],2628
NH3,CT1,CT2A,CT2,0.2,3.0,0.0,['From X    CT1  CT2  X !N terminus'],2629
CT1,CT2A,CT2,HA2,0.19,3.0,0.0,['From X    CT2  CT2  X'],2630
HB1,CT1,CT2A,HA2,0.2,3.0,0.0,['From X    CT1  CT2  X'],2631
HB1,CT1,CT2A,CT2,0.2,3.0,0.0,['From X    CT1  CT2  X'],2632
HA2,CT2A,CT1,C,0.2,3.0,0.0,['From X    CT1  CT2  X'],2633
HA2,CT2A,CT1,CC,0.2,3.0,0.0,['RB: added for C-ter Glu'],2634
HA2,CT2A,CT2,HA2,0.19,3.0,0.0,['From X    CT2  CT2  X'],2635
HA2,CT2A,CT2,CC,0.19,3.0,0.0,['From X    CT2  CT2  X'],2636
HB1,CT1,CT2A,CPH1,0.2,3.0,0.0,['From X    CT1  CT2  X'],2637
C,NH1,CT1,CT2A,1.8,1.0,0.0,['from CT2  CT1  NH1  C'],2638
H,NH1,CT1,CT2A,0.0,1.0,0.0,['from H    NH1  CT1  CT2'],2639
CT2A,CT1,C,O,1.4,1.0,0.0,['from O    C    CT1  CT2'],2640
CT2A,CT1,C,NH1,0.0,1.0,0.0,['NH1  C    CT1  CT2'],2641
CT2A,CT1,C,N,0.0,1.0,0.0,"['RB: added for GLU-PRO in UBQ', 'Glup']",2642
CT1,CT2A,CT2,CD,0.19,3.0,0.0,['From X    CT2  CT2  X'],2644
HA2,CT2A,CT2,CD,0.19,3.0,0.0,['From X    CT2  CT2  X'],2645
CT2A,CPH1,CPH1,HR1,1.0,2.0,180.0,['from HR1  CPH1 CPH1 CT2'],2646
CT2A,CPH1,CPH1,NR3,2.5,2.0,180.0,['from NR3  CPH1 CPH1 CT2'],2647
CT2A,CPH1,NR3,H,3.0,2.0,180.0,['from H    NR3  CPH1 CT2'],2648
CT2A,CPH1,NR3,CPH2,2.5,2.0,180.0,['from CT2  CPH1 NR3  CPH2'],2649
